name,highest_val_acc,corresponding_test_acc,highest_test_acc, og_result, improvement
S3_n24_l2_m1_d1,98.33333333333333,96.0,96.83333333333333, 90.333, 6.27%
S3_n4_l1_m2_d1,97.5,93.83333333333333,95.66666666666667, 90.333, 3.87%
S3_n4_l3_m0.5_d1,95.83333333333333,96.16666666666667,96.83333333333333, 90.333, 7.20%
S3_n24_l3_m0.5_d1,98.33333333333333,97.83333333333333,98.33333333333333, 90.333, 8.85%
